Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2019-07-29,Snacks,11:55 PM,661.8,42.4,14.5,3.0,5.4,0.8,497.9,648.9,649.4,2.0,0.0,1.7,62.2,196.4,0.0,80.5,21.6,
2019-07-31,Breakfast,11:00 AM,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,29.0,3.0,15.0,1.0,2.0,20.0,0.0,2.0,
2019-09-02,Breakfast,,885.0,39.0,22.5,0.0,0.0,0.0,90.0,1560.0,0.0,90.0,6.0,9.0,33.0,0.0,0.0,0.0,0.0,
2019-09-02,Dinner,,898.9,40.0,7.1,2.9,10.8,0.0,75.0,788.2,569.7,89.1,15.1,13.8,41.7,6.8,17.7,13.1,17.7,
2019-09-03,Lunch,,631.9,21.1,5.2,1.5,9.9,0.0,76.2,301.3,223.1,70.9,4.4,9.6,39.7,3.5,7.9,14.4,33.3,
2019-09-03,Dinner,,550.1,11.2,3.4,1.0,1.4,0.2,192.3,785.6,596.4,58.9,5.6,4.5,64.9,44.6,66.8,28.8,13.4,
2019-09-04,Snacks,,316.0,10.5,2.6,0.8,4.9,0.0,38.1,150.7,111.5,35.5,2.2,4.8,19.8,1.8,4.0,7.2,16.7,
2019-09-10,Breakfast,,670.0,29.7,8.3,2.0,4.0,0.0,450.0,733.3,250.0,49.3,2.0,1.7,18.7,12.0,2.0,8.7,14.7,
2019-09-11,Breakfast,,1654.0,69.7,19.2,6.7,12.2,1.7,820.4,1257.0,479.3,140.2,0.0,6.3,113.4,441.9,0.0,202.2,12.6,
2021-03-29,Breakfast,,3.6,0.1,0.0,0.0,0.1,0.0,0.0,7.1,174.2,0.0,0.0,0.0,0.4,0.0,0.0,0.7,0.2,
2021-03-29,Lunch,,3.6,0.1,0.0,0.0,0.1,0.0,0.0,7.1,174.2,0.0,0.0,0.0,0.4,0.0,0.0,0.7,0.2,
2021-03-29,Dinner,,439.5,34.1,6.7,3.1,17.3,0.0,0.0,111.9,769.8,18.3,8.2,5.7,22.9,8.3,44.5,14.0,13.4,
2021-03-29,Snacks,,540.0,18.0,9.0,2.0,6.0,0.0,0.0,2080.0,0.0,82.0,2.0,4.0,10.0,0.0,0.0,0.0,20.0,
2021-03-30,Breakfast,,113.6,0.1,0.0,0.0,0.1,0.0,0.0,7.1,624.2,29.0,3.0,15.0,1.4,2.0,20.0,0.7,2.2,
2021-03-30,Lunch,,3.6,0.1,0.0,0.0,0.1,0.0,0.0,7.1,174.2,0.0,0.0,0.0,0.4,0.0,0.0,0.7,0.2,
2021-03-30,Dinner,,901.0,41.6,9.3,9.8,9.8,0.1,763.8,1894.0,276.0,87.4,10.0,4.7,47.2,21.5,0.0,13.2,50.9,
2021-03-30,Snacks,,3.6,0.1,0.0,0.0,0.1,0.0,0.0,7.1,174.2,0.0,0.0,0.0,0.4,0.0,0.0,0.7,0.2,
2022-07-29,Dinner,1:30 AM,1048.9,20.7,4.7,4.0,6.9,0.0,75.0,689.8,1014.0,151.7,35.0,9.4,53.8,46.5,78.3,52.2,58.7,
2022-07-30,Breakfast,1:25 AM,340.0,16.0,4.5,2.0,0.9,0.2,60.0,670.0,280.0,36.0,4.0,3.0,16.0,88.0,4.0,6.0,35.0,
2022-07-30,Dinner,1:00 AM,612.4,17.2,6.9,0.3,0.9,0.1,88.4,109.6,572.1,84.3,6.1,7.6,34.5,15.6,92.9,8.9,33.8,
2022-07-31,Breakfast,7:05 AM,270.0,10.0,2.5,2.0,0.9,0.1,30.0,470.0,240.0,35.0,4.0,3.0,12.0,44.0,2.0,6.0,23.0,
2022-07-31,Dinner,,310.0,1.5,0.4,0.0,0.0,0.0,0.0,15.0,0.0,67.0,4.0,2.0,10.0,0.0,0.0,2.0,10.0,
2022-07-31,Dinner,5:15 PM,292.0,10.2,1.9,2.3,5.0,0.0,24.0,410.0,502.0,36.4,3.4,5.6,22.0,0.0,0.0,0.0,0.0,
2022-07-31,Snacks,8:05 PM,64.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,208.0,16.0,2.0,14.0,0.9,10.0,20.0,0.0,2.0,
2022-08-01,Breakfast,7:30 AM,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-08-01,Breakfast,9:30 AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-08-01,Dinner,6:30 PM,664.9,28.3,10.1,2.6,12.0,0.0,95.7,408.1,271.4,70.7,4.8,11.8,30.1,82.5,48.2,3.4,16.0,
2022-08-01,Snacks,12:55 AM,743.1,33.4,14.0,10.4,4.1,0.0,40.0,297.5,1349.0,105.0,9.5,62.5,9.0,27.0,236.8,13.3,9.0,
2022-08-02,Breakfast,7:10 AM,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-08-02,Breakfast,9:15 AM,260.0,3.0,1.0,0.0,0.0,0.0,70.0,340.0,440.0,8.0,1.0,4.0,48.0,0.0,0.0,26.0,7.8,
2022-08-02,Breakfast,9:50 AM,70.0,2.0,0.0,0.0,0.0,0.0,0.0,150.0,100.0,6.0,2.0,2.0,8.0,0.0,0.0,4.0,5.6,
2022-08-02,Dinner,5:30 PM,1010.0,56.9,25.2,0.0,0.0,0.1,149.0,2939.0,250.0,65.8,6.5,14.0,67.0,0.0,2.0,0.0,2.0,
2022-08-02,Snacks,1:15 AM,300.0,18.0,4.0,10.0,4.0,0.0,0.0,190.0,740.0,28.0,2.0,2.0,4.0,0.0,20.0,0.0,4.0,
2022-08-02,Snacks,8:30 PM,664.9,28.3,10.1,2.6,12.0,0.0,95.7,408.1,271.4,70.7,4.8,11.8,30.1,82.5,48.2,3.4,16.0,
2022-08-02,Snacks,9:00 PM,64.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,208.0,16.0,2.0,14.0,0.9,10.0,20.0,0.0,2.0,
2022-08-03,Breakfast,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-08-03,Breakfast,7:30 AM,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-08-03,Breakfast,9:00 AM,260.0,3.0,1.0,0.0,0.0,0.0,70.0,340.0,440.0,8.0,1.0,4.0,48.0,0.0,0.0,26.0,7.8,
2022-08-03,Breakfast,9:50 AM,70.0,2.0,0.0,0.0,0.0,0.0,0.0,150.0,100.0,6.0,2.0,2.0,8.0,0.0,0.0,4.0,5.6,
2022-08-03,Lunch,9:50 AM,70.0,2.0,0.0,0.0,0.0,0.0,0.0,150.0,100.0,6.0,2.0,2.0,8.0,0.0,0.0,4.0,5.6,
2022-08-03,Lunch,1:00 PM,260.0,3.0,1.0,0.0,0.0,0.0,70.0,340.0,440.0,8.0,1.0,4.0,48.0,0.0,0.0,26.0,7.8,
2022-08-03,Dinner,6:45 PM,994.2,41.0,12.6,3.0,5.7,0.0,56.0,558.5,1930.4,106.8,19.2,35.4,59.4,1512.0,98.3,10.8,17.4,
2022-08-03,Dinner,7:10 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,
2022-08-03,Snacks,12:00 PM,63.6,0.1,0.0,0.0,0.1,0.0,0.0,7.1,174.2,14.5,1.5,10.5,0.9,0.0,0.0,1.2,1.7,
2022-08-03,Snacks,9:40 PM,180.0,6.0,3.8,0.0,0.0,0.2,22.5,97.5,375.0,9.0,0.0,9.0,24.0,0.0,0.0,0.0,0.0,
2022-08-04,Breakfast,9:50 AM,70.0,2.0,0.0,0.0,0.0,0.0,0.0,150.0,100.0,6.0,2.0,2.0,8.0,0.0,0.0,4.0,5.6,
2022-08-04,Breakfast,11:00 AM,974.8,33.9,14.6,2.0,3.7,0.0,753.2,1247.2,444.3,89.5,4.5,8.5,78.7,36.9,20.0,57.4,45.8,
2022-08-04,Breakfast,11:05 AM,3.6,0.1,0.0,0.0,0.1,0.0,0.0,7.1,174.2,0.0,0.0,0.0,0.4,0.0,0.0,0.7,0.2,
2022-08-04,Lunch,1:35 PM,330.0,5.0,1.0,0.0,0.0,0.0,70.0,490.0,540.0,14.0,3.0,6.0,56.0,0.0,0.0,30.0,13.4,
2022-08-04,Dinner,7:20 PM,551.1,34.5,10.3,0.6,1.4,0.0,99.4,690.8,39.4,23.6,5.2,5.2,37.3,27.9,11.4,26.9,25.2,
2022-08-04,Snacks,9:00 PM,248.0,8.0,4.0,0.0,0.0,0.0,0.0,940.0,0.0,40.0,1.0,2.0,5.0,0.0,0.0,5.2,10.0,
2022-08-05,Breakfast,9:20 AM,70.0,2.0,0.0,0.0,0.0,0.0,0.0,150.0,100.0,6.0,2.0,2.0,8.0,0.0,0.0,4.0,5.6,
2022-08-05,Breakfast,11:00 AM,265.0,3.0,1.0,0.0,0.0,0.0,70.0,340.0,440.0,9.0,1.0,4.0,48.0,0.0,0.0,26.0,7.8,
2022-08-05,Lunch,1:50 PM,330.0,5.0,1.0,0.0,0.0,0.0,70.0,490.0,540.0,14.0,3.0,6.0,56.0,0.0,0.0,30.0,13.4,
2022-08-05,Lunch,1:55 PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-08-05,Dinner,8:20 PM,1710.0,46.5,0.0,0.0,0.0,0.0,300.0,275.0,734.5,10.0,0.5,0.0,83.0,0.0,0.0,43.5,0.0,
2022-08-07,Breakfast,10:30 AM,295.0,9.0,3.0,0.0,0.0,0.5,200.0,510.0,225.0,40.0,4.0,16.5,14.0,0.5,50.0,1.0,7.5,
2022-08-07,Breakfast,12:40 PM,210.0,18.0,2.5,1.0,3.0,0.0,50.0,640.0,80.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,2.0,
2022-08-07,Lunch,9:50 AM,70.0,2.0,0.0,0.0,0.0,0.0,0.0,150.0,100.0,6.0,2.0,2.0,8.0,0.0,0.0,4.0,5.6,
2022-08-07,Lunch,10:30 AM,260.0,3.0,1.0,0.0,0.0,0.0,70.0,340.0,440.0,8.0,1.0,4.0,48.0,0.0,0.0,26.0,7.8,
2022-08-07,Dinner,8:15 PM,1198.0,34.0,14.4,0.0,0.0,0.0,0.0,729.5,290.0,141.7,5.0,1.2,85.9,48.0,19.0,4.0,1.0,
2022-08-07,Snacks,8:10 PM,199.4,0.1,0.0,0.0,0.0,0.0,0.0,0.7,501.1,54.0,4.8,47.9,1.3,2.1,0.0,4.6,3.6,
2022-08-08,Breakfast,9:20 AM,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-08-08,Breakfast,9:25 AM,330.0,5.0,1.0,0.0,0.0,0.0,70.0,490.0,540.0,14.0,3.0,6.0,56.0,0.0,0.0,30.0,13.4,
2022-08-08,Dinner,7:20 PM,659.5,30.8,11.2,3.2,13.2,0.0,97.9,744.6,612.4,60.2,6.7,18.5,33.9,140.3,38.5,14.7,25.4,
2022-08-08,Snacks,11:20 PM,875.4,11.9,3.8,0.0,0.0,0.0,40.0,464.7,501.1,126.3,11.8,80.2,75.6,2.1,0.0,9.9,13.6,
2022-08-09,Breakfast,8:55 AM,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-08-09,Breakfast,9:15 AM,260.0,3.0,1.0,0.0,0.0,0.0,70.0,340.0,440.0,8.0,1.0,4.0,48.0,0.0,0.0,26.0,7.8,
2022-08-09,Lunch,4:50 PM,328.5,12.9,5.6,1.1,1.8,0.0,185.0,1091.5,189.0,42.4,1.6,5.2,11.7,14.4,12.0,8.0,14.9,
2022-08-09,Dinner,,524.5,19.2,7.6,1.0,2.0,0.0,25.4,486.4,144.6,54.5,3.2,5.3,36.7,0.3,12.8,2.4,10.5,
2022-08-09,Snacks,11:25 PM,830.0,25.0,15.0,0.0,0.0,0.2,80.0,850.0,540.0,94.0,3.0,64.0,58.0,0.0,0.0,30.0,21.4,
2022-08-10,Breakfast,9:20 AM,335.0,5.0,1.0,0.0,0.0,0.0,70.0,490.0,540.0,15.0,3.0,6.0,56.0,0.0,0.0,30.0,13.4,
2022-08-10,Lunch,9:20 AM,260.0,3.0,1.0,0.0,0.0,0.0,70.0,340.0,440.0,8.0,1.0,4.0,48.0,0.0,0.0,26.0,7.8,
2022-08-10,Lunch,7:35 PM,70.0,2.0,0.0,0.0,0.0,0.0,0.0,150.0,100.0,6.0,2.0,2.0,8.0,0.0,0.0,4.0,5.6,
2022-08-10,Dinner,7:35 PM,769.2,30.5,10.2,0.3,0.8,0.1,104.0,493.9,561.2,64.4,13.1,14.7,48.4,98.3,55.4,15.8,26.3,
2022-08-10,Snacks,9:20 AM,260.0,3.0,1.0,0.0,0.0,0.0,70.0,340.0,440.0,8.0,1.0,4.0,48.0,0.0,0.0,26.0,7.8,
2022-08-10,Snacks,7:35 PM,400.0,7.0,1.0,0.0,0.0,0.0,70.0,640.0,640.0,20.0,5.0,8.0,64.0,0.0,0.0,34.0,19.0,
2022-08-11,Breakfast,9:20 AM,335.0,5.0,1.0,0.0,0.0,0.0,70.0,490.0,540.0,15.0,3.0,6.0,56.0,0.0,0.0,30.0,13.4,
2022-08-11,Dinner,5:25 PM,380.0,7.0,0.0,0.0,0.0,0.0,0.0,1340.0,0.0,55.0,3.0,7.0,20.0,0.0,0.0,0.0,0.0,
2022-08-11,Dinner,9:35 PM,832.8,24.0,8.0,0.0,1.8,0.4,158.2,1624.2,2283.4,89.6,15.2,25.0,70.8,220.2,32.2,23.0,58.0,
2022-08-11,Snacks,12:30 AM,800.0,38.0,14.0,0.0,0.0,0.0,60.0,2220.0,0.0,76.0,4.0,6.0,40.0,20.0,50.0,30.0,30.0,
2022-08-12,Breakfast,9:20 AM,335.0,5.0,1.0,0.0,0.0,0.0,70.0,490.0,540.0,15.0,3.0,6.0,56.0,0.0,0.0,30.0,13.4,
2022-08-13,Breakfast,11:45 AM,955.9,34.6,6.0,0.0,0.0,0.0,860.0,260.0,0.0,88.3,0.0,0.0,68.8,24.0,0.0,8.0,16.0,
2022-08-13,Breakfast,11:50 AM,330.0,5.0,1.0,0.0,0.0,0.0,70.0,490.0,540.0,14.0,3.0,6.0,56.0,0.0,0.0,30.0,13.4,
2022-08-14,Breakfast,11:45 AM,955.9,34.6,6.0,0.0,0.0,0.0,860.0,260.0,0.0,88.3,0.0,0.0,68.8,24.0,0.0,8.0,16.0,
2022-08-14,Dinner,6:20 PM,713.2,31.0,10.7,1.2,0.7,0.3,537.4,451.5,915.1,32.5,4.0,5.6,69.8,1198.9,9.2,9.2,162.8,
2022-08-14,Dinner,6:25 PM,105.5,7.0,0.2,0.8,0.1,0.0,0.0,190.1,391.7,8.9,5.9,0.9,5.9,0.0,122.7,28.6,10.0,
2022-08-15,Breakfast,6:35 PM,265.0,3.0,1.0,0.0,0.0,0.0,70.0,340.0,440.0,9.0,1.0,4.0,48.0,0.0,0.0,26.0,7.8,
2022-08-15,Dinner,7:05 PM,1410.8,71.3,12.1,1.0,3.0,2.3,35.0,3009.7,241.4,86.4,5.1,7.2,100.5,27.1,60.6,38.8,14.8,
2022-08-15,Snacks,6:35 PM,85.0,7.5,0.5,2.0,5.0,0.0,0.0,55.0,95.0,2.5,1.5,0.5,3.0,0.0,0.0,4.0,3.0,
2022-08-16,Breakfast,,140.0,9.0,3.0,0.0,0.0,0.0,430.0,130.0,0.0,2.0,0.0,0.0,12.0,12.0,0.0,4.0,8.0,
2022-08-16,Breakfast,7:20 AM,490.4,14.0,0.0,0.0,0.0,0.0,0.0,1.5,87.5,52.9,0.9,1.2,36.7,9.0,40.2,5.0,0.2,
2022-08-16,Breakfast,9:15 AM,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-08-16,Dinner,10:25 AM,720.0,36.0,0.0,0.0,0.0,0.0,180.0,1200.0,0.0,60.0,3.0,0.0,54.0,0.0,0.0,0.0,0.0,
2022-08-16,Snacks,10:25 AM,550.0,5.0,1.0,0.0,0.0,0.0,70.0,490.0,1440.0,72.0,9.0,36.0,58.0,4.0,40.0,30.0,17.4,
2022-08-17,Breakfast,,1058.1,53.5,9.1,0.8,2.3,1.7,26.3,2257.3,181.1,64.8,3.9,5.4,75.3,20.3,45.5,29.1,11.1,
2022-08-17,Breakfast,10:20 AM,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-08-17,Dinner,8:25 PM,867.0,27.0,10.0,0.0,0.0,0.1,15.0,442.3,250.0,6.0,9.0,7.0,52.0,0.0,0.0,0.0,0.0,
2022-08-17,Snacks,12:00 PM,330.0,5.0,1.0,0.0,0.0,0.0,70.0,490.0,540.0,14.0,3.0,6.0,56.0,0.0,0.0,30.0,13.4,
2022-08-18,Breakfast,1:45 PM,398.0,5.4,1.0,0.1,0.1,0.0,70.0,509.5,723.0,30.1,5.3,18.6,57.4,0.0,10.2,30.6,16.2,
2022-08-18,Lunch,,24.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,2.7,2.7,2.7,1.6,0.0,0.0,0.0,0.0,
2022-08-18,Lunch,1:45 PM,246.3,2.4,1.1,0.0,0.0,0.0,95.6,550.0,1032.6,9.6,3.2,3.3,47.7,27.5,15.1,7.8,13.5,
2022-08-18,Lunch,1:50 PM,89.0,8.5,1.2,0.0,0.0,0.0,0.0,127.0,0.0,3.2,0.0,2.3,0.3,0.0,0.0,0.0,0.0,
2022-08-18,Dinner,,1012.5,42.2,0.0,0.0,0.0,0.0,0.0,2803.5,0.0,99.0,0.9,0.0,25.5,0.0,0.0,0.0,0.0,
2022-08-18,Dinner,1:05 PM,585.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,42.5,0.0,0.0,0.0,0.0,
2022-08-18,Snacks,1:50 PM,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,1.0,0.0,3.0,99.0,833.5,100.0,0.0,
2022-08-19,Breakfast,9:30 AM,398.0,5.4,1.0,0.1,0.1,0.0,70.0,509.5,723.0,30.1,5.3,18.6,57.4,0.0,10.2,30.6,16.2,
2022-08-19,Lunch,1:05 PM,359.3,11.0,2.4,0.0,0.0,0.0,95.6,677.1,1032.6,15.5,5.9,8.3,49.6,27.5,15.1,7.8,13.5,
2022-08-20,Breakfast,,300.0,10.0,10.0,0.0,0.0,0.0,75.0,900.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,
2022-08-20,Breakfast,9:05 AM,620.0,12.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,100.0,28.0,16.0,36.0,0.0,0.0,0.0,0.0,
2022-08-20,Breakfast,1:10 PM,18.0,0.3,0.0,0.1,0.1,0.0,0.0,6.0,240.0,4.0,1.2,6.0,0.9,18.0,24.0,0.0,0.0,
2022-08-20,Lunch,1:05 PM,330.0,5.0,1.0,0.0,0.0,0.0,70.0,490.0,540.0,14.0,3.0,6.0,56.0,0.0,0.0,30.0,13.4,
2022-08-20,Snacks,,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-08-22,Breakfast,9:00 AM,709.0,13.4,2.5,0.1,0.1,0.0,70.0,569.5,1623.0,93.4,14.6,49.6,62.4,4.0,50.2,32.6,22.9,
2022-08-22,Lunch,,158.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,
2022-08-22,Lunch,11:00 AM,132.1,4.3,0.6,0.4,2.5,0.0,0.0,67.4,469.8,20.5,8.8,11.1,5.5,29.0,25.9,10.4,7.5,
2022-08-22,Dinner,6:45 PM,434.7,22.0,9.1,0.3,1.4,0.5,95.4,743.0,488.8,37.1,5.4,11.2,32.1,231.7,26.0,11.3,43.1,
2022-08-22,Snacks,11:05 PM,658.0,46.7,13.9,13.6,9.5,0.4,117.0,1271.2,608.4,26.2,1.2,2.4,42.3,12.2,3.8,24.6,23.0,
2022-08-23,Breakfast,,180.0,16.0,3.0,0.0,0.0,0.0,0.0,120.0,0.0,8.0,2.0,2.0,6.0,0.0,0.0,4.0,4.0,
2022-08-23,Breakfast,9:00 AM,440.0,5.0,1.0,0.0,0.0,0.0,70.0,490.0,990.0,43.0,6.0,21.0,57.0,2.0,20.0,30.0,15.4,
2022-08-23,Lunch,2:10 PM,430.0,13.0,4.5,0.0,0.0,0.0,55.0,1390.0,0.0,55.0,2.0,8.0,25.0,0.0,0.0,0.0,0.0,
2022-08-24,Breakfast,9:00 AM,440.0,5.0,1.0,0.0,0.0,0.0,70.0,490.0,990.0,43.0,6.0,21.0,57.0,2.0,20.0,30.0,15.4,
2022-08-24,Lunch,2:45 PM,516.0,3.8,1.0,0.2,0.2,0.0,70.0,379.0,1256.0,72.7,9.9,48.5,51.8,2.5,45.4,27.7,15.9,
